loan_id,client_id,contract_id,principal_amount,interest_rate,loan_type
200,62,269,179635,0.14,car
201,37,350,56501,0.05,mortgage
202,259,244,135442,0.15,car
203,287,273,29250,0.24,personal
204,246,238,74028,0.2,car
205,73,79,37496,0.22,personal
206,65,82,89704,0.18,personal
207,144,161,147649,0.34,personal
208,120,145,164905,0.03,mortgage
209,32,177,28665,0.03,mortgage
210,51,455,171033,0.04,mortgage
211,112,3,32411,0.36,personal
212,118,230,195158,0.12,car
213,257,402,149408,0.2,personal
214,121,442,14086,0.06,personal
215,82,332,185186,0.16,car
216,191,477,117273,0.12,car
217,120,355,175007,0.14,personal
218,205,288,141866,0.05,mortgage
219,130,434,139982,0.12,car
220,235,222,45692,0.03,mortgage
221,88,351,149806,0.13,car
222,282,254,196673,0.31,personal
223,97,203,107118,0.35,personal
224,201,386,56547,0.06,mortgage
225,144,300,58100,0.03,mortgage
226,292,153,65208,0.06,personal
227,297,197,171817,0.03,mortgage
228,231,485,95629,0.13,personal
229,111,30,139096,0.12,car
230,194,49,176977,0.1,personal
231,208,481,139697,0.03,mortgage
232,255,223,88641,0.03,mortgage
233,283,342,67998,0.03,mortgage
234,192,12,75468,0.18,personal
235,272,214,133693,0.04,mortgage
236,39,457,26346,0.04,car
237,235,322,87216,0.14,car
238,127,94,37470,0.21,personal
239,293,313,154522,0.1,personal
240,222,420,113753,0.03,car
241,261,155,134532,0.05,mortgage
242,288,87,74101,0.12,car
243,18,310,151483,0.28,personal
244,272,117,136951,0.21,personal
245,56,381,107598,0.04,mortgage
246,105,131,194934,0.06,personal
247,27,343,75235,0.04,car
248,175,96,11781,0.17,car
249,49,90,181155,0.04,mortgage
250,107,378,20779,0.03,mortgage
251,71,50,126434,0.04,mortgage
252,170,168,63428,0.2,personal
253,70,154,179598,0.05,mortgage
254,109,199,198782,0.35,personal
255,46,423,133511,0.06,mortgage
256,150,71,192741,0.06,car
257,207,260,79399,0.05,mortgage
258,266,341,98768,0.05,mortgage
259,156,93,145258,0.12,car
260,198,66,101121,0.03,mortgage
261,54,18,147354,0.04,mortgage
262,236,194,41687,0.04,mortgage
263,84,124,44398,0.02,car
264,82,129,126175,0.03,mortgage
265,260,110,161683,0.08,car
266,210,360,142956,0.14,car
267,125,276,127262,0.07,car
268,120,396,94879,0.2,car
269,180,170,86065,0.04,mortgage
270,162,34,69370,0.03,mortgage
271,22,6,64002,0.11,car
272,218,56,188466,0.05,mortgage
273,46,446,32667,0.18,personal
274,258,440,40775,0.04,mortgage
275,155,395,93385,0.17,personal
276,111,267,113309,0.23,personal
277,105,450,124494,0.15,personal
278,24,122,67895,0.15,car
279,141,380,82155,0.35,personal
280,14,405,186635,0.25,personal
281,207,164,104728,0.04,mortgage
282,276,346,31419,0.16,personal
283,294,139,43690,0.16,personal
284,128,143,83166,0.03,mortgage
285,268,119,17235,0.25,personal
286,167,231,111460,0.17,personal
287,277,438,123699,0.25,personal
288,22,219,36606,0.16,car
289,237,292,136575,0.05,mortgage
290,46,347,186996,0.05,mortgage
291,169,389,84949,0.28,personal
292,60,489,18066,0.05,mortgage
293,159,206,78433,0.1,car
294,277,367,120607,0.04,mortgage
295,280,57,180336,0.14,car
296,209,422,155483,0.05,mortgage
297,53,376,197230,0.09,car
298,169,245,164156,0.15,personal
299,251,493,112979,0.05,car
300,200,123,137732,0.08,car
301,204,36,56005,0.2,car
302,99,469,14562,0.16,car
303,226,500,164087,0.06,mortgage
304,209,179,184980,0.1,car
305,270,220,177313,0.03,mortgage
306,171,150,53064,0.13,personal
307,17,264,122578,0.06,personal
308,30,280,194515,0.16,car
309,29,445,187384,0.11,car
310,261,484,140158,0.1,car
311,202,298,199655,0.05,mortgage
312,48,73,34154,0.04,mortgage
313,174,233,16039,0.27,personal
314,149,333,127514,0.07,personal
315,157,81,137595,0.04,mortgage
316,294,228,131289,0.13,car
317,54,213,62475,0.1,personal
318,133,414,14625,0.09,personal
319,206,400,166333,0.03,mortgage
320,78,403,157822,0.05,personal
321,41,349,199720,0.1,car
322,106,498,93249,0.14,personal
323,25,158,120416,0.06,mortgage
324,217,319,171361,0.15,car
325,208,302,153975,0.19,car
326,211,466,147893,0.05,mortgage
327,31,19,129028,0.05,mortgage
328,298,180,117970,0.05,mortgage
329,55,89,121770,0.03,mortgage
330,23,162,122071,0.24,personal
331,37,151,156604,0.14,car
332,67,221,88251,0.03,mortgage
333,151,176,190957,0.04,mortgage
334,87,388,111913,0.14,personal
335,127,361,62662,0.04,car
336,232,169,63745,0.11,personal
337,33,247,157480,0.11,personal
338,136,348,38320,0.11,car
339,217,138,142744,0.32,personal
340,280,419,40417,0.15,personal
341,197,352,109553,0.03,mortgage
342,14,404,80272,0.16,car
343,178,37,134097,0.08,car
344,184,232,146139,0.06,mortgage
345,111,329,63260,0.05,mortgage
346,205,134,62913,0.29,personal
347,146,492,191162,0.2,personal
348,21,261,56344,0.06,personal
349,42,111,134307,0.05,mortgage
350,27,225,20342,0.04,mortgage
351,230,499,40578,0.04,mortgage
352,69,397,26174,0.04,mortgage
353,239,205,162823,0.04,mortgage
354,199,443,90226,0.03,mortgage
355,36,92,175097,0.06,car
356,19,364,52879,0.03,mortgage
357,83,75,110661,0.04,mortgage
358,16,99,28256,0.14,personal
359,248,318,92313,0.21,personal
360,298,17,192013,0.05,mortgage
361,52,141,167307,0.36,personal
362,61,156,82928,0.05,mortgage
363,97,459,185095,0.06,mortgage
364,78,157,152220,0.04,mortgage
365,165,127,57012,0.03,mortgage
366,134,444,149009,0.05,mortgage
367,44,248,172208,0.04,mortgage
368,51,309,103574,0.08,car
369,155,401,67608,0.03,mortgage
370,59,301,144850,0.03,mortgage
371,93,375,81361,0.06,car
372,190,437,41971,0.03,mortgage
373,30,45,116519,0.04,mortgage
374,29,408,145278,0.09,car
375,215,102,95974,0.04,car
376,224,256,55059,0.03,mortgage
377,183,15,124023,0.03,car
378,113,136,27903,0.08,car
379,56,410,129726,0.04,mortgage
380,54,305,118746,0.24,personal
381,84,399,109935,0.06,mortgage
382,198,149,35948,0.08,personal
383,300,165,60560,0.24,personal
384,225,478,78817,0.03,mortgage
385,176,429,72535,0.08,personal
386,17,385,14233,0.06,mortgage
387,271,257,108308,0.06,mortgage
388,225,467,165405,0.16,personal
389,221,118,95015,0.19,personal
390,159,268,187628,0.03,mortgage
391,120,38,11855,0.03,mortgage
392,31,306,187812,0.05,mortgage
393,160,272,196207,0.04,mortgage
394,177,290,28105,0.04,mortgage
395,100,72,55745,0.11,car
396,60,370,86779,0.13,car
397,214,201,58984,0.03,car
398,89,27,39459,0.3,personal
399,250,358,38096,0.1,personal
400,41,451,167496,0.05,mortgage
401,251,325,17359,0.21,personal
402,184,171,102280,0.03,mortgage
403,66,356,131721,0.05,mortgage
404,118,393,180262,0.19,car
405,182,487,112091,0.08,personal
406,10,88,73210,0.03,car
407,127,109,24549,0.15,car
408,121,326,68004,0.05,mortgage
409,211,271,148784,0.05,mortgage
410,120,105,85287,0.11,car
411,5,283,45776,0.24,personal
412,149,39,177278,0.34,personal
413,180,183,86667,0.15,personal
414,6,174,64975,0.09,car
415,38,98,61322,0.03,mortgage
416,254,303,134299,0.05,mortgage
417,61,53,163727,0.05,mortgage
418,180,191,75948,0.04,mortgage
419,120,113,136022,0.04,mortgage
420,129,237,142863,0.03,mortgage
421,287,327,128233,0.34,personal
422,209,465,157491,0.06,mortgage
423,143,44,33107,0.04,mortgage
424,146,295,138311,0.03,car
425,182,25,116800,0.04,car
426,129,468,28879,0.23,personal
427,237,24,143882,0.04,mortgage
428,254,5,83785,0.06,mortgage
429,272,226,52885,0.08,car
430,115,354,45983,0.05,mortgage
431,228,372,195427,0.1,car
432,211,208,87569,0.05,mortgage
433,238,411,79993,0.34,personal
434,247,337,14799,0.06,mortgage
435,147,464,105363,0.17,car
436,189,142,177102,0.08,car
437,169,46,108727,0.13,car
438,85,195,158382,0.06,mortgage
439,292,285,98892,0.05,mortgage
440,272,441,106627,0.03,mortgage
441,297,62,119013,0.33,personal
442,104,432,180004,0.08,car
443,280,421,33595,0.13,car
444,91,126,40444,0.05,mortgage
445,270,377,40849,0.22,personal
446,98,54,21310,0.18,car
447,92,263,170649,0.11,car
448,16,211,148918,0.04,mortgage
449,153,152,138834,0.07,personal
450,2,334,177597,0.09,personal
451,39,146,122335,0.08,car
452,181,362,157104,0.14,personal
453,38,190,21008,0.27,personal
454,275,344,185994,0.36,personal
455,253,252,109382,0.04,mortgage
456,251,227,23788,0.04,mortgage
457,224,69,57278,0.13,car
458,154,463,148392,0.05,car
459,11,147,100593,0.06,mortgage
460,153,448,74036,0.03,car
461,156,281,158966,0.04,car
462,253,185,41100,0.08,car
463,275,289,124153,0.2,car
464,42,315,78042,0.3,personal
465,201,394,43679,0.24,personal
466,94,21,16386,0.05,mortgage
467,124,253,19707,0.1,personal
468,122,286,159018,0.04,mortgage
469,206,61,41018,0.03,mortgage
470,66,287,195426,0.05,mortgage
471,137,471,161606,0.15,car
472,8,22,13484,0.24,personal
473,73,144,135750,0.07,personal
474,277,198,153829,0.21,personal
475,282,365,17008,0.3,personal
476,132,456,39316,0.17,personal
477,175,282,184082,0.17,car
478,153,148,72565,0.05,mortgage
479,225,74,27993,0.34,personal
480,238,33,84251,0.05,mortgage
481,232,20,73993,0.03,mortgage
482,36,11,89663,0.07,car
483,281,413,46439,0.15,personal
484,15,200,173203,0.15,personal
485,263,133,109115,0.05,car
486,183,407,70206,0.06,car
487,123,2,105707,0.26,personal
488,40,115,27335,0.1,personal
489,83,458,68548,0.12,car
490,59,258,87978,0.04,mortgage
491,184,215,74900,0.26,personal
492,110,262,23656,0.28,personal
493,263,250,185126,0.11,personal
494,145,424,80040,0.19,car
495,73,121,188913,0.03,mortgage
496,180,330,125849,0.3,personal
497,203,9,22562,0.03,mortgage
498,153,406,174428,0.09,car
499,80,321,164846,0.05,mortgage
500,31,217,187165,0.05,mortgage
501,127,383,183583,0.03,mortgage
502,146,387,86683,0.31,personal
503,25,29,127008,0.03,mortgage
504,282,196,113635,0.15,personal
505,36,307,40011,0.05,mortgage
506,159,360,144284,0.04,mortgage
507,246,306,113377,0.02,car
508,75,259,108153,0.1,car
509,43,434,42500,0.1,personal
510,49,321,62989,0.09,car
511,267,16,128020,0.05,mortgage
512,184,135,115096,0.2,personal
513,42,352,54582,0.24,personal
514,70,162,130155,0.03,mortgage
515,122,351,108920,0.16,personal
516,70,229,15547,0.07,personal
517,239,378,117227,0.07,car
518,12,69,69421,0.16,personal
519,169,122,25936,0.05,mortgage
520,189,267,34984,0.34,personal
521,109,119,103083,0.06,mortgage
522,184,314,196091,0.14,personal
523,300,209,79628,0.07,personal
524,1,259,95309,0.05,mortgage
525,183,338,182106,0.11,car
526,291,181,82499,0.05,mortgage
527,182,63,54680,0.03,mortgage
528,91,29,163484,0.3,personal
529,253,173,141227,0.05,car
530,295,218,46077,0.07,car
531,54,59,197907,0.2,personal
532,3,387,72634,0.06,mortgage
533,25,278,138902,0.04,mortgage
534,94,79,185265,0.03,mortgage
535,111,497,70957,0.31,personal
536,234,302,17567,0.12,car
537,224,98,124720,0.05,mortgage
538,94,201,80060,0.04,mortgage
539,293,18,155290,0.21,personal
540,14,186,106178,0.11,personal
541,180,35,41663,0.04,mortgage
542,118,307,144553,0.26,personal
543,157,183,130864,0.1,personal
544,89,328,139309,0.2,car
545,43,261,35443,0.03,mortgage
546,108,184,29041,0.31,personal
547,24,311,72274,0.3,personal
548,44,421,14844,0.14,car
549,220,278,23481,0.13,car
550,138,458,159798,0.05,mortgage
551,292,217,149281,0.13,personal
552,270,211,41049,0.05,car
553,177,175,59614,0.14,personal
554,11,223,159799,0.05,car
555,79,413,105702,0.06,mortgage
556,234,465,164039,0.26,personal
557,256,95,191878,0.08,car
558,112,273,183812,0.07,car
559,195,471,58431,0.04,mortgage
560,61,26,113489,0.03,car
561,240,129,153386,0.05,mortgage
562,91,245,90102,0.07,car
563,237,265,33843,0.15,car
564,78,137,126633,0.04,mortgage
565,111,129,113648,0.3,personal
566,163,29,137123,0.05,mortgage
567,12,110,114249,0.17,car
568,9,458,81942,0.14,car
569,206,391,125845,0.34,personal
570,22,139,85284,0.04,mortgage
571,124,419,36657,0.03,mortgage
572,130,474,103429,0.16,personal
573,220,56,46379,0.05,mortgage
574,35,363,21699,0.03,mortgage
575,266,384,38353,0.06,mortgage
576,123,220,48470,0.11,car
577,29,219,127876,0.16,car
578,210,58,101467,0.31,personal
579,135,361,194085,0.27,personal
580,1,4,87435,0.16,car
581,152,431,82698,0.28,personal
582,83,288,165562,0.04,mortgage
583,152,421,68722,0.03,mortgage
584,72,292,141694,0.07,car
585,161,46,17146,0.05,mortgage
586,130,14,53243,0.22,personal
587,95,128,195742,0.04,mortgage
588,7,223,23733,0.05,mortgage
589,222,134,92933,0.08,car
590,109,83,186409,0.21,personal
591,255,141,112635,0.08,car
592,282,463,121069,0.06,mortgage
593,163,128,80002,0.19,car
594,10,67,44579,0.03,mortgage
595,280,383,68929,0.07,personal
596,44,228,126471,0.04,mortgage
597,219,341,22850,0.03,mortgage
598,212,381,113220,0.21,personal
599,170,58,59405,0.04,mortgage
600,220,121,81340,0.33,personal
601,243,192,85845,0.06,mortgage
602,76,482,105991,0.04,car
603,83,139,158347,0.28,personal
604,130,450,110567,0.12,car
605,6,249,92955,0.34,personal
606,266,210,121340,0.09,car
607,118,205,150863,0.3,personal
608,108,65,131029,0.03,car
609,239,245,38894,0.05,mortgage
610,38,498,145599,0.09,car
611,162,354,21611,0.04,mortgage
612,198,102,116857,0.34,personal
613,102,162,130339,0.23,personal
614,271,426,86787,0.04,mortgage
615,278,405,156358,0.2,car
616,78,146,123819,0.05,mortgage
617,207,238,31054,0.29,personal
618,298,112,189620,0.03,mortgage
619,139,295,111548,0.29,personal
620,299,353,52069,0.06,mortgage
621,129,412,190832,0.04,mortgage
622,108,183,45564,0.05,mortgage
623,201,88,87731,0.02,car
624,65,175,142616,0.16,car
625,212,317,31166,0.15,car
626,281,325,127559,0.06,personal
627,214,239,127834,0.04,car
628,1,311,134014,0.06,mortgage
629,108,8,93393,0.2,car
630,54,66,84771,0.05,mortgage
631,235,431,189532,0.04,mortgage
632,44,274,104094,0.29,personal
633,87,245,126566,0.36,personal
634,250,124,127867,0.04,mortgage
635,226,443,178620,0.16,car
636,227,300,165942,0.06,mortgage
637,62,318,177011,0.04,mortgage
638,260,452,25585,0.32,personal
639,182,115,29196,0.07,personal
640,128,480,100574,0.13,car
641,165,130,113993,0.36,personal
642,32,121,134534,0.17,car
643,62,75,123782,0.17,car
644,165,498,187946,0.19,car
645,40,258,121878,0.07,car
646,292,5,125771,0.32,personal
647,255,143,65775,0.07,personal
648,88,303,95843,0.28,personal
649,33,255,35023,0.07,personal
650,233,32,155695,0.03,car
651,286,350,16380,0.18,car
652,133,221,199311,0.04,mortgage
653,135,263,13047,0.06,personal
654,298,494,19903,0.18,car
655,27,72,50089,0.05,mortgage
656,269,61,189205,0.11,car
657,107,33,71384,0.29,personal
658,182,125,185046,0.25,personal
659,145,24,86437,0.06,car
660,95,363,20160,0.18,personal
661,111,397,147785,0.16,car
662,150,144,85364,0.05,mortgage
663,176,213,16324,0.04,mortgage
664,184,148,39834,0.19,car
665,76,411,89180,0.06,mortgage
666,267,127,134996,0.05,mortgage
667,104,35,62113,0.04,mortgage
668,183,494,80523,0.09,car
669,207,146,28615,0.06,car
670,284,466,11303,0.03,mortgage
671,217,48,103123,0.3,personal
672,95,394,152892,0.09,car
673,130,59,198865,0.36,personal
674,284,126,159759,0.25,personal
675,99,172,11220,0.17,car
676,203,187,139890,0.03,mortgage
677,66,209,101332,0.06,personal
678,61,497,102988,0.1,car
679,95,19,125984,0.11,personal
680,42,324,198262,0.24,personal
681,228,481,78528,0.16,personal
682,242,224,138834,0.05,mortgage
683,28,371,155733,0.07,car
684,179,49,123595,0.05,mortgage
685,9,194,66367,0.06,personal
686,157,457,172351,0.19,car
687,127,209,195445,0.03,mortgage
688,203,43,75633,0.05,mortgage
689,34,117,20835,0.02,car
690,190,125,26569,0.27,personal
691,92,225,27064,0.06,car
692,254,99,195781,0.05,mortgage
693,113,63,150367,0.2,personal
694,52,444,19134,0.26,personal
695,89,311,36775,0.19,personal
696,21,484,37437,0.03,mortgage
697,126,323,133626,0.25,personal
698,281,181,124385,0.05,car
699,184,493,106313,0.03,car
700,265,343,187615,0.17,car
701,27,426,158477,0.03,mortgage
702,6,226,197076,0.05,car
703,108,386,142157,0.25,personal
704,269,32,65025,0.04,mortgage
705,178,182,97686,0.18,car
706,297,398,126497,0.03,mortgage
707,43,310,69462,0.03,car
708,7,349,99766,0.04,mortgage
709,30,479,192630,0.22,personal
710,196,170,134458,0.2,personal
711,17,293,135983,0.03,mortgage
712,205,434,90827,0.04,car
713,134,207,72925,0.35,personal
714,228,76,99938,0.2,car
715,50,41,168308,0.08,personal
716,86,359,124041,0.33,personal
717,66,413,46633,0.34,personal
718,35,9,96930,0.15,personal
719,59,499,118304,0.06,mortgage
720,224,37,182421,0.02,car
721,123,329,76458,0.04,mortgage
722,49,494,101127,0.04,mortgage
723,31,459,191449,0.22,personal
724,259,137,84637,0.26,personal
725,57,183,19697,0.03,mortgage
726,32,243,61709,0.14,car
727,202,12,108207,0.05,car
728,231,206,15038,0.05,car
729,151,154,57558,0.03,mortgage
730,250,45,172414,0.03,car
731,243,124,79492,0.04,mortgage
732,2,174,111609,0.05,mortgage
733,64,430,110204,0.29,personal
734,136,312,108071,0.16,personal
735,294,416,186103,0.05,car
736,49,37,37674,0.03,mortgage
737,137,453,116859,0.05,car
738,20,217,172830,0.02,car
739,147,192,103599,0.29,personal
740,32,167,186745,0.1,car
741,240,123,104256,0.12,personal
742,181,242,33656,0.11,personal
743,140,55,33136,0.31,personal
744,58,103,157652,0.03,mortgage
745,128,261,183828,0.14,car
746,20,136,173020,0.28,personal
747,61,378,87245,0.13,personal
748,136,254,22017,0.08,car
749,173,10,23331,0.04,mortgage
750,257,201,131178,0.21,personal
751,187,1,26266,0.04,mortgage
752,229,454,136557,0.03,mortgage
753,130,64,161419,0.13,car
754,300,373,130415,0.22,personal
755,166,111,40734,0.04,car
756,138,460,16579,0.08,car
757,163,394,30616,0.25,personal
758,260,247,113872,0.19,car
759,87,372,178556,0.06,car
760,188,346,73744,0.07,personal
761,154,242,99160,0.05,mortgage
762,249,171,16047,0.05,mortgage
763,295,374,116070,0.15,car
764,184,461,173787,0.03,mortgage
765,171,391,21073,0.08,personal
766,213,4,70822,0.03,mortgage
767,43,288,53085,0.06,personal
768,27,320,57919,0.04,mortgage
769,217,186,38517,0.16,personal
770,96,398,24663,0.16,personal
771,77,339,101213,0.04,mortgage
772,196,30,191833,0.05,mortgage
773,127,280,58381,0.17,personal
774,108,95,138429,0.07,car
775,244,128,141482,0.26,personal
776,262,198,154284,0.31,personal
777,162,219,144695,0.3,personal
778,112,271,42875,0.07,personal
779,177,283,89169,0.05,personal
780,157,83,111250,0.18,car
781,95,256,178102,0.06,car
782,145,211,45250,0.31,personal
783,16,105,22492,0.1,personal
784,104,83,74930,0.04,mortgage
785,171,444,86178,0.19,personal
786,153,454,52677,0.03,mortgage
787,269,477,189614,0.05,mortgage
788,275,120,17479,0.12,personal
789,291,450,49340,0.16,car
790,139,313,151019,0.05,mortgage
791,224,292,157526,0.2,car
792,15,451,148549,0.2,car
793,98,59,28642,0.35,personal
794,274,487,152265,0.11,car
795,114,356,68526,0.34,personal
796,48,141,178436,0.2,personal
797,137,30,94583,0.16,car
798,195,442,52452,0.21,personal
799,232,460,109611,0.03,mortgage
800,234,341,125236,0.24,personal
801,141,381,176554,0.06,mortgage
802,232,224,12883,0.05,mortgage
803,25,387,197704,0.23,personal
804,254,353,30428,0.04,mortgage
805,124,409,79492,0.03,mortgage
806,213,460,117543,0.09,car
807,221,132,12290,0.18,personal
808,48,385,99712,0.1,car
809,194,356,43101,0.25,personal
810,187,346,86043,0.19,car
811,98,487,182394,0.1,car
812,92,86,20845,0.14,personal
813,132,135,13909,0.03,car
814,128,59,95172,0.06,mortgage
815,297,126,60385,0.1,car
816,115,431,57538,0.11,personal
817,202,204,124768,0.12,personal
818,237,309,79649,0.11,car
819,164,428,159978,0.3,personal
820,296,500,148812,0.08,personal
821,285,133,158510,0.15,car
822,181,484,77947,0.06,personal
823,282,35,49892,0.09,car
824,119,45,48996,0.05,mortgage
825,144,482,84376,0.05,car
826,252,112,154885,0.04,mortgage
827,221,226,35415,0.18,personal
828,64,188,94923,0.05,mortgage
829,144,250,113751,0.12,car
830,296,495,196632,0.06,mortgage
831,192,359,170323,0.2,car
832,37,442,24481,0.03,mortgage
833,60,292,167410,0.17,personal
834,230,101,97922,0.16,car
835,35,340,27403,0.11,personal
836,234,240,17392,0.06,mortgage
837,186,176,180949,0.05,car
838,6,38,87180,0.06,mortgage
839,153,307,156885,0.07,car
840,131,171,67751,0.07,car
841,233,28,189987,0.05,mortgage
842,20,272,145419,0.19,car
843,3,163,109756,0.05,mortgage
844,258,456,23175,0.06,car
845,274,6,124959,0.1,personal
846,44,181,37105,0.19,car
847,109,97,69133,0.04,car
848,90,198,168471,0.21,personal
849,225,293,116302,0.26,personal
850,140,475,40250,0.19,personal
851,225,81,78484,0.05,mortgage
